Name,Twitter Handle,Total Tweets,Favourites_Count,Followers,User_Id,User_Verified,User Location,Tweet Id,Tweet Text,Language,Tweet Source,Tweet Retweet,Tweet Reply To Id,Reply To Name
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.99969E+17,I settled the Trump University lawsuit for a small fraction of the potential award because as President I have to focus on our country.,en,Twitter for Android,16495,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.99743E+17,Will be working all weekend in choosing the great men and women who will be helping to MAKE AMERICA GREAT AGAIN!,en,Twitter for Android,26964,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.99657E+17,"RT @transition2017: President-elect Trump announces selections for Attorney General, National Security Advisor, CIA Director. More here: ht…",en,Twitter for iPhone,7757,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.99436E+17,I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their confidence in me!,en,Twitter for Android,29503,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.99432E+17,"Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant in Kentucky - no Mexico",en,Twitter for Android,49860,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.99232E+17,"My transition team, which is working long hours and doing a fantastic job, will be seeing many great candidates today. #MAGA",en,Twitter for Android,21504,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.98865E+17,"Australia, New Zealand, and more. I am always available to them. @nytimes is just upset that they looked like fools in their coverage of me.",en,Twitter for Android,24591,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.98862E+17,"I have recieved and taken calls from many foreign leaders despite what the failing @nytimes said. Russia, U.K., China, Saudi Arabia, Japan,",en,Twitter for Android,26137,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.98861E+17,"The failing @nytimes story is so totally wrong on transition. It is going so smoothly. Also, I have spoken to many foreign leaders.",en,Twitter for Android,21165,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.9885E+17,"I am not trying to get ""top level security clearance"" for my children. This was a typically false news story.",en,Twitter for Android,31699,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.98721E+17,Very organized process taking place as I decide on Cabinet and many other positions. I am the only one who knows who the finalists are!,en,Twitter for Android,27945,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.98521E+17,"The Electoral College is actually genius in that it brings all states, including the smaller ones, into play. Campaigning is much different!",en,Twitter for Android,39864,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.9852E+17,If the election were based on total popular vote I would have campaigned in  N.Y. Florida and California and won even bigger and more easily,en,Twitter for Android,50745,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.97873E+17,"The debates, especially the second and third, plus speeches and intensity of the large rallies, plus OUR GREAT SUPPORTERS, gave us the win!",en,Twitter for iPhone,23820,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.9784E+17,I will be interviewed on @60Minutes tonight after the NFL game - 7:00 P.M. Enjoy!,en,Twitter for Android,16709,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.97832E+17,"The @nytimes states today that DJT believes ""more countries should acquire nuclear weapons."" How dishonest are they. I never said this!",en,Twitter for Android,29938,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.97824E+17,"Governor John Kasich of the GREAT, GREAT, GREAT State of Ohio called to congratulate me on the win. The people of Ohio were incredible!",en,Twitter for Android,23001,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.97822E+17,"Jeb Bush, George W and George H.W. all called to express their best wishes on the win. Very nice!",en,Twitter for Android,18395,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.97813E+17,Mitt Romney called to congratulate me on the win. Very nice!,en,Twitter for Android,15690,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.97812E+17,The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me. I wonder if it will change - doubt it?,en,Twitter for Android,22606,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.97805E+17,"Wow, the @nytimes is losing thousands of subscribers because of their very poor and highly inaccurate coverage of the ""Trump phenomena""",en,Twitter for Android,35680,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.97455E+17,"This will prove to be a great time in the lives of ALL Americans. We will unite and we will win, win, win!",en,Twitter for Android,54709,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.97098E+17,Today we express our deepest gratitude to all those who have served in our armed forces. #ThankAVet https://t.co/wPk7QWpK8Z,en,Twitter for iPhone,48041,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.9707E+17,Busy day planned in New York. Will soon be making some very important decisions on the people who will be running our government!,en,Twitter for Android,33987,None,None
,,,,,,,,,,,,,,
